EV_bin,LA_bin,sample_size,source,ba_value,slg_value,iso_value,wobacon_value,rv_value
77,7,46,modeled,0.413025647,0.461029559,0.082845427,0.39861691,0.012064636
76,7,43,modeled,0.410333276,0.457910448,0.082845427,0.39861691,0.012064636
61,39,7,modeled,0.386815161,0.477650762,0.107049853,0.397905678,0.017228443
98,-4,163,empirical,0.404907975,0.460122699,0.110429448,0.39782544,0.013341203
95,33,132,empirical,0.212121212,0.78030303,0.78030303,0.397609228,0.013167702
92,-6,107,empirical,0.411214953,0.448598131,0.074766355,0.396752037,0.012479844
69,13,23,modeled,0.386479408,0.468221158,0.084975913,0.3966223,0.004868042
97,21,191,empirical,0.287958115,0.628272251,0.612565445,0.396391626,0.01219063
63,19,9,modeled,0.4276402,0.49902156,0.101818718,0.395846516,0.014888973
99,42,44,modeled,0.206184611,0.775695205,0.808044195,0.395701468,0.010819048
99,43,35,modeled,0.206184611,0.775695205,0.808044195,0.395701468,0.010819048
87,-4,56,empirical,0.410714286,0.446428571,0.071428571,0.395637569,0.011585532
97,-4,138,empirical,0.398550725,0.463768116,0.123188406,0.395571555,0.011532559
58,31,4,modeled,0.357824862,0.5424366,0.127334923,0.394955546,0.006328534
64,15,6,modeled,0.3914738,0.428519964,0.071487173,0.394549221,0.013235846
56,28,1,modeled,0.331591517,0.396230549,0.119230695,0.394203842,0.003416541
77,27,42,modeled,0.430944681,0.43163833,0.15636225,0.393987715,0.008618509
79,10,59,empirical,0.423728814,0.423728814,0,0.393843171,0.010145606
96,19,176,empirical,0.323863636,0.5625,0.471590909,0.393654017,0.009993818
81,5,55,empirical,0.4,0.454545455,0.109090909,0.393003313,0.009471657
94,-5,127,empirical,0.409448819,0.440944882,0.05511811,0.392564753,0.009119731
93,-2,120,empirical,0.4,0.45,0.1,0.391235366,0.008052956
80,6,60,empirical,0.4,0.45,0.1,0.391235366,0.008052956
77,9,46,modeled,0.398289889,0.466603428,0.079703972,0.39039892,0.006174237
76,9,37,modeled,0.398289889,0.463484317,0.079703972,0.39039892,0.006174237
61,23,7,modeled,0.437639296,0.469816267,0.100633956,0.39035964,0.010859329
83,5,51,empirical,0.411764706,0.431372549,0.039215686,0.39034933,0.00734195
73,35,19,modeled,0.366048247,0.447553188,0.119088992,0.390096933,0.006553587
71,12,25,modeled,0.421632499,0.447968423,0.071202688,0.389910966,0.000358286
62,20,5,modeled,0.410868049,0.522488117,0.098922402,0.389717042,0.012341218
97,-5,140,empirical,0.407142857,0.435714286,0.057142857,0.389539831,0.006692363
64,16,14,modeled,0.375387371,0.428519964,0.072271422,0.389096349,0.009379928
99,-9,121,empirical,0.404958678,0.438016529,0.05785124,0.388986066,0.006247991
97,-6,145,empirical,0.406896552,0.434482759,0.055172414,0.388927698,0.006201153
72,12,23,modeled,0.421632499,0.460400164,0.0746677,0.388130188,-0.001070659
73,34,23,modeled,0.393404454,0.455909699,0.119088992,0.387836874,0.004739974
63,17,8,modeled,0.39724493,0.425115824,0.09326525,0.387658387,0.010201037
100,43,43,modeled,0.198969498,0.797206938,0.750741124,0.387412816,0.004167774
99,-14,75,empirical,0.4,0.44,0.08,0.387345884,0.004931816
82,5,46,modeled,0.401330888,0.431438446,0.079120085,0.387147456,0.005597855
90,3,92,empirical,0.402173913,0.434782609,0.065217391,0.386491636,0.004246319
94,18,162,empirical,0.333333333,0.530864198,0.388888889,0.386451943,0.004214467
88,-2,70,empirical,0.385714286,0.457142857,0.142857143,0.386291831,0.004085984
97,-7,134,empirical,0.402985075,0.432835821,0.059701493,0.386172886,0.003990536
59,23,10,modeled,0.403593153,0.469816267,0.102722451,0.386060297,0.007409276
60,23,7,modeled,0.437639296,0.469816267,0.100633956,0.386060297,0.007409276
66,14,16,modeled,0.397744209,0.436166674,0.087776832,0.385314494,0.003957156
67,14,11,modeled,0.417643636,0.458909452,0.085247919,0.384279698,0.003934692
84,23,68,empirical,0.382352941,0.455882353,0.147058824,0.383984681,0.002234596
93,24,145,empirical,0.282758621,0.6,0.579310345,0.383670372,0.001982378
90,-8,84,empirical,0.392857143,0.44047619,0.095238095,0.383670229,0.001982262
93,30,119,empirical,0.226890756,0.705882353,0.705882353,0.383116658,0.001538046
92,-4,89,empirical,0.393258427,0.438202247,0.08988764,0.383002685,0.001446588
79,6,53,empirical,0.396226415,0.433962264,0.075471698,0.382957813,0.00141058
63,40,6,modeled,0.317424119,0.462291121,0.107049853,0.382935822,0.005215822
93,18,144,empirical,0.333333333,0.520833333,0.368055556,0.382525376,0.001063568
60,34,8,modeled,0.317574561,0.484731555,0.117432527,0.381614834,0.000641738
60,35,4,modeled,0.321896046,0.476375043,0.117432527,0.381614834,0.000641738
91,20,113,empirical,0.318584071,0.539823009,0.415929204,0.38130188,8.18E-05
94,-4,120,empirical,0.375,0.458333333,0.158333333,0.380692701,-0.000407074
67,44,12,modeled,0.38412416,0.460609376,0.116040014,0.380546987,0.003794318
100,-4,116,empirical,0.405172414,0.413793103,0.017241379,0.379948558,-0.001004216
68,13,17,modeled,0.375507921,0.451397508,0.084975913,0.379716158,-0.010005625
93,-4,101,empirical,0.396039604,0.425742574,0.059405941,0.379659803,-0.001235929
93,35,102,empirical,0.205882353,0.735294118,0.735294118,0.379371381,-0.001467376
67,41,10,modeled,0.387494892,0.475146353,0.116040014,0.379148722,0.003215083
96,39,80,empirical,0.2,0.75,0.75,0.379019567,-0.001749691
85,4,44,modeled,0.393616199,0.411918163,0.094958991,0.377930999,-0.001610896
58,32,6,modeled,0.279734969,0.523351073,0.122175492,0.377899736,-0.007357956
89,-2,77,empirical,0.38961039,0.428571429,0.077922078,0.377284952,-0.003141644
56,29,3,modeled,0.343904465,0.47218141,0.12997438,0.377258837,-0.010181082
94,27,148,empirical,0.22972973,0.682432432,0.682432432,0.376901955,-0.003448982
83,7,56,empirical,0.375,0.446428571,0.142857143,0.376333225,-0.003905364
87,21,81,empirical,0.333333333,0.50617284,0.320987654,0.376246369,-0.003975062
99,-7,147,empirical,0.387755102,0.428571429,0.074829932,0.376061018,-0.004123798
94,29,144,empirical,0.229166667,0.680555556,0.680555556,0.37574046,-0.004381032
56,27,6,modeled,0.28635934,0.359975547,0.098124802,0.375659883,-0.013199775
57,25,7,modeled,0.368795127,0.332374752,0.107137926,0.37546888,-0.008259511
77,29,29,modeled,0.361356705,0.35012722,0.165284097,0.375427902,-0.005208898
77,28,40,modeled,0.397975981,0.395338863,0.16118978,0.375427902,-0.005208898
79,25,44,modeled,0.441031605,0.496235609,0.17375879,0.374900877,-0.003260555
57,30,7,modeled,0.32657668,0.475686014,0.128925726,0.373393148,-0.013283186
94,34,128,empirical,0.203125,0.7265625,0.71875,0.373312996,-0.006328966
73,11,28,modeled,0.402488589,0.464579523,0.063580617,0.373270839,-0.012994695
84,6,56,empirical,0.357142857,0.464285714,0.196428571,0.373046142,-0.006543105
68,41,12,modeled,0.387494892,0.475146353,0.115018636,0.372608989,-0.001999674
69,41,10,modeled,0.387494892,0.464765042,0.115018636,0.372608989,-0.003478187
84,4,63,empirical,0.380952381,0.428571429,0.095238095,0.372605111,-0.006897013
91,-3,104,empirical,0.384615385,0.423076923,0.076923077,0.372447965,-0.007023116
67,42,12,modeled,0.38412416,0.460814565,0.116040014,0.372398347,-0.00220179
67,43,5,modeled,0.38412416,0.460814565,0.116040014,0.372398347,-0.00220179
70,12,22,modeled,0.416592509,0.440669805,0.063933223,0.371746033,-0.015946453
62,40,6,modeled,0.317424119,0.462291121,0.107049853,0.371031791,-0.00433666
68,44,14,modeled,0.38412416,0.460609376,0.115018636,0.370842636,-0.003931307
69,44,8,modeled,0.38412416,0.450228065,0.115018636,0.370842636,-0.00540982
57,26,8,modeled,0.375848204,0.347178012,0.122670434,0.370351672,-0.012601826
63,15,9,modeled,0.384115994,0.375200361,0.071487173,0.370238513,-0.005800751
86,3,62,empirical,0.370967742,0.435483871,0.129032258,0.36989678,-0.009070331
87,-1,62,empirical,0.370967742,0.435483871,0.112903226,0.369372533,-0.009491016
62,19,8,modeled,0.358347535,0.453091741,0.101818718,0.368666142,-0.0069221
90,-1,86,empirical,0.372093023,0.430232558,0.11627907,0.36846253,-0.010221254
